Question|Answer
What were the values for 'Net income attributable to GE HealthCare' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for 'Net income attributable to GE HealthCare' for the years 2024, 2023, and 2022 were 1568, 1916, and 2247 millions of dollars, respectively.
What was the value of 'Comprehensive income attributable to GE HealthCare' in 2024 according to the Statements of Operations / Income?|The value of 'Comprehensive income attributable to GE HealthCare' in 2024 was 755 millions of dollars.
Find the value for 'Comprehensive income attributable to GE HealthCare' in 2023 from the Statements of Operations / Income.|The value of 'Comprehensive income attributable to GE HealthCare' in 2023 was 1073 millions of dollars.
Could you provide the figure for 'Comprehensive income attributable to GE HealthCare' in 2022 as reported in the Statements of Operations / Income?|The value of 'Comprehensive income attributable to GE HealthCare' in 2022 was 2049 millions of dollars.
How much did the 'Comprehensive income attributable to GE HealthCare' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in 'Comprehensive income attributable to GE HealthCare' from 2023 to 2024 was -318 millions of dollars.
What was the difference in 'Comprehensive income attributable to GE HealthCare' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in 'Comprehensive income attributable to GE HealthCare' between 2022 and 2023 was -976 millions of dollars.
What were the values for 'Comprehensive income attributable to GE HealthCare' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for 'Comprehensive income attributable to GE HealthCare' for the years 2024, 2023, and 2022 were 755, 1073, and 2049 millions of dollars, respectively.
What was the value of '455' in 2024 according to the Statements of Operations / Income?|The value of '455' in 2024 was 5 millions of dollars.
Find the value for '455' in 2023 from the Statements of Operations / Income.|The value of '455' in 2023 was 6493 millions of dollars.
Could you provide the figure for '455' in 2022 as reported in the Statements of Operations / Income?|The value of '455' in 2022 was 1326 millions of dollars.
How much did the '455' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in '455' from 2023 to 2024 was -6488 millions of dollars.
What was the difference in '455' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in '455' between 2022 and 2023 was 5167 millions of dollars.
What were the values for '455' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for '455' for the years 2024, 2023, and 2022 were 5, 6493, and 1326 millions of dollars, respectively.
What was the value of 'Net income' in 2024 according to the Statements of Operations / Income?|The value of 'Net income' in 2024 was 1614 millions of dollars.
Find the value for 'Net income' in 2023 from the Statements of Operations / Income.|The value of 'Net income' in 2023 was 1967 millions of dollars.
Could you provide the figure for 'Net income' in 2022 as reported in the Statements of Operations / Income?|The value of 'Net income' in 2022 was 2293 millions of dollars.
How much did the 'Net income' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in 'Net income' from 2023 to 2024 was -353 millions of dollars.
What was the difference in 'Net income' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in 'Net income' between 2022 and 2023 was -326 millions of dollars.
What were the values for 'Net income' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for 'Net income' for the years 2024, 2023, and 2022 were 1614, 1967, and 2293 millions of dollars, respectively.
What was the value of 'Net income from continuing operations' in 2024 according to the Statements of Operations / Income?|The value of 'Net income from continuing operations' in 2024 was 1618 millions of dollars.
Find the value for 'Net income from continuing operations' in 2023 from the Statements of Operations / Income.|The value of 'Net income from continuing operations' in 2023 was 1949 millions of dollars.
Could you provide the figure for 'Net income from continuing operations' in 2022 as reported in the Statements of Operations / Income?|The value of 'Net income from continuing operations' in 2022 was 2275 millions of dollars.
How much did the 'Net income from continuing operations' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in 'Net income from continuing operations' from 2023 to 2024 was -331 millions of dollars.
What was the difference in 'Net income from continuing operations' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in 'Net income from continuing operations' between 2022 and 2023 was -326 millions of dollars.
What were the values for 'Net income from continuing operations' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for 'Net income from continuing operations' for the years 2024, 2023, and 2022 were 1618, 1949, and 2275 millions of dollars, respectively.
What was the value of 'Service cost  Operating' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of 'Service cost  Operating' in 2024 was 32 millions of dollars.
Find the value for 'Service cost  Operating' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of 'Service cost  Operating' in 2023 was 23 millions of dollars.
Could you provide the figure for 'Service cost  Operating' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of 'Service cost  Operating' in 2022 was 19 millions of dollars.
How much did the 'Service cost  Operating' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in 'Service cost  Operating' from 2023 to 2024 was 9 millions of dollars.
What was the difference in 'Service cost  Operating' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in 'Service cost  Operating' between 2022 and 2023 was 4 millions of dollars.
What were the values for 'Service cost  Operating' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for 'Service cost  Operating' for the years 2024, 2023, and 2022 were 32, 23, and 19 millions of dollars, respectively.
What was the value of ')' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of ')' in 2024 was 44 millions of dollars.
Find the value for ')' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of ')' in 2023 was 9 millions of dollars.
Could you provide the figure for ')' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of ')' in 2022 was 25 millions of dollars.
How much did the ')' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in ')' from 2023 to 2024 was 35 millions of dollars.
What was the difference in ')' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in ')' between 2022 and 2023 was -16 millions of dollars.
What were the values for ')' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for ')' for the years 2024, 2023, and 2022 were 44, 9, and 25 millions of dollars, respectively.
What was the value of '2024' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of '2024' in 2024 was 1277 millions of dollars.
Find the value for '2024' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of '2024' in 2023 was 226 millions of dollars.
Could you provide the figure for '2024' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of '2024' in 2022 was 130 millions of dollars.
How much did the '2024' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in '2024' from 2023 to 2024 was 1051 millions of dollars.
What was the difference in '2024' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in '2024' between 2022 and 2023 was 96 millions of dollars.
What were the values for '2024' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for '2024' for the years 2024, 2023, and 2022 were 1277, 226, and 130 millions of dollars, respectively.
What was the value of '' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of '' in 2024 was 1655 millions of dollars.
Find the value for '' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of '' in 2023 was 467 millions of dollars.
Could you provide the figure for '' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of '' in 2022 was 51 millions of dollars.
How much did the '' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in '' from 2023 to 2024 was 1188 millions of dollars.
What was the difference in '' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in '' between 2022 and 2023 was 416 millions of dollars.
What were the values for '' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for '' for the years 2024, 2023, and 2022 were 1655, 467, and 51 millions of dollars, respectively.
What was the value of 'Fair value of plan assets' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of 'Fair value of plan assets' in 2024 was 14700 millions of dollars.
Find the value for 'Fair value of plan assets' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of 'Fair value of plan assets' in 2023 was 1820 millions of dollars.
Could you provide the figure for 'Fair value of plan assets' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of 'Fair value of plan assets' in 2022 was 6318 millions of dollars.
How much did the 'Fair value of plan assets' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in 'Fair value of plan assets' from 2023 to 2024 was 12880 millions of dollars.
What was the difference in 'Fair value of plan assets' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in 'Fair value of plan assets' between 2022 and 2023 was -4498 millions of dollars.
What were the values for 'Fair value of plan assets' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for 'Fair value of plan assets' for the years 2024, 2023, and 2022 were 14700, 1820, and 6318 millions of dollars, respectively.
What was the value of '595' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of '595' in 2024 was 5967 millions of dollars.
Find the value for '595' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of '595' in 2023 was 4518 millions of dollars.
Could you provide the figure for '595' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of '595' in 2022 was 290 millions of dollars.
How much did the '595' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in '595' from 2023 to 2024 was 1449 millions of dollars.
What was the difference in '595' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in '595' between 2022 and 2023 was 4228 millions of dollars.
What were the values for '595' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for '595' for the years 2024, 2023, and 2022 were 5967, 4518, and 290 millions of dollars, respectively.
What was the value of 'Fair value of plan assets' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of 'Fair value of plan assets' in 2024 was 425 millions of dollars.
Find the value for 'Fair value of plan assets' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of 'Fair value of plan assets' in 2023 was 60 millions of dollars.
Could you provide the figure for 'Fair value of plan assets' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of 'Fair value of plan assets' in 2022 was 157 millions of dollars.
How much did the 'Fair value of plan assets' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in 'Fair value of plan assets' from 2023 to 2024 was 365 millions of dollars.
What was the difference in 'Fair value of plan assets' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in 'Fair value of plan assets' between 2022 and 2023 was -97 millions of dollars.
What were the values for 'Fair value of plan assets' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for 'Fair value of plan assets' for the years 2024, 2023, and 2022 were 425, 60, and 157 millions of dollars, respectively.
What was the value of 'U.S. income' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of 'U.S. income' in 2024 was 816 millions of dollars.
Find the value for 'U.S. income' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of 'U.S. income' in 2023 was 1090 millions of dollars.
Could you provide the figure for 'U.S. income' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of 'U.S. income' in 2022 was 1587 millions of dollars.
How much did the 'U.S. income' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in 'U.S. income' from 2023 to 2024 was -274 millions of dollars.
What was the difference in 'U.S. income' between 2022 and 2023 according to the Statements of Financial Position / Balance Sheet?|The difference in 'U.S. income' between 2022 and 2023 was -497 millions of dollars.
What were the values for 'U.S. income' for the years 2024, 2023, and 2022 in the Statements of Financial Position / Balance Sheet?|The values for 'U.S. income' for the years 2024, 2023, and 2022 were 816, 1090, and 1587 millions of dollars, respectively.
What was the value of 'Total' in 2024 according to the Statements of Financial Position / Balance Sheet?|The value of 'Total' in 2024 was 2361 millions of dollars.
Find the value for 'Total' in 2023 from the Statements of Financial Position / Balance Sheet.|The value of 'Total' in 2023 was 2512 millions of dollars.
Could you provide the figure for 'Total' in 2022 as reported in the Statements of Financial Position / Balance Sheet?|The value of 'Total' in 2022 was 2875 millions of dollars.
How much did the 'Total' change from 2023 to 2024 based on the Statements of Financial Position / Balance Sheet?|The change in 'Total' from 2023 to 2024 was -151 millions of dollars.
